
=== C Reference Spectrogram Dump (DSP only) ===
C_REF_BEGIN rows=49 cols=40
C_REF 280 2.289062500 0x40128000
C_REF 281 2.093750000 0x40060000
C_REF 282 1.246093750 0x3f9f8000
C_REF 283 1.804687500 0x3fe70000
C_REF 284 1.878906250 0x3ff08000
C_REF 285 2.296875000 0x40130000
C_REF 286 1.988281250 0x3ffe8000
C_REF 287 1.878906250 0x3ff08000
C_REF 288 2.382812500 0x40188000
C_REF 289 1.824218750 0x3fe98000
C_REF 290 2.007812500 0x40008000
C_REF 291 2.367187500 0x40178000
C_REF 292 2.000000000 0x40000000
C_REF 293 2.398437500 0x40198000
C_REF 294 2.835937500 0x40358000
C_REF 295 2.679687500 0x402b8000
C_REF 296 2.500000000 0x40200000
C_REF 297 2.796875000 0x40330000
C_REF 298 2.343750000 0x40160000
C_REF 299 2.945312500 0x403c8000
C_REF 300 2.117187500 0x40078000
C_REF 301 2.804687500 0x40338000
C_REF 302 3.031250000 0x40420000
C_REF 303 2.914062500 0x403a8000
C_REF 304 2.445312500 0x401c8000
C_REF 305 3.203125000 0x404d0000
C_REF 306 3.070312500 0x40448000
C_REF 307 2.718750000 0x402e0000
C_REF 308 2.726562500 0x402e8000
C_REF 309 3.367187500 0x40578000
C_REF 310 3.492187500 0x405f8000
C_REF 311 2.960937500 0x403d8000
C_REF 312 3.390625000 0x40590000
C_REF 313 3.023437500 0x40418000
C_REF 314 3.125000000 0x40480000
C_REF 315 3.656250000 0x406a0000
C_REF 316 3.132812500 0x40488000
C_REF 317 3.523437500 0x40618000
C_REF 318 3.601562500 0x40668000
C_REF 319 3.773437500 0x40718000
C_REF 320 2.234375000 0x400f0000
C_REF 321 2.289062500 0x40128000
C_REF 322 1.996093750 0x3fff8000
C_REF 323 0.595703125 0x3f188000
C_REF 324 1.175781250 0x3f968000
C_REF 325 2.117187500 0x40078000
C_REF 326 2.265625000 0x40110000
C_REF 327 2.671875000 0x402b0000
C_REF 328 2.390625000 0x40190000
C_REF 329 2.804687500 0x40338000
C_REF 330 1.871093750 0x3fef8000
C_REF 331 2.281250000 0x40120000
C_REF 332 2.093750000 0x40060000
C_REF 333 2.195312500 0x400c8000
C_REF 334 2.656250000 0x402a0000
C_REF 335 2.500000000 0x40200000
C_REF 336 2.710937500 0x402d8000
C_REF 337 2.804687500 0x40338000
C_REF 338 2.781250000 0x40320000
C_REF 339 2.906250000 0x403a0000
C_REF 340 2.140625000 0x40090000
C_REF 341 1.996093750 0x3fff8000
C_REF 342 2.367187500 0x40178000
C_REF 343 3.132812500 0x40488000
C_REF 344 3.148437500 0x40498000
C_REF 345 3.226562500 0x404e8000
C_REF 346 2.953125000 0x403d0000
C_REF 347 3.007812500 0x40408000
C_REF 348 3.164062500 0x404a8000
